       00.000	 -0.060
       00.010	 -0.065
       00.020	 -0.060
       00.030	 -0.075
       00.040	 -0.065
       00.050	 -0.070
       00.060	 -0.070
       00.070	 -0.090
       00.080	 -0.080
       00.090	 -0.095
       00.100	 -0.080
       00.110	 -0.095
       00.120	 -0.080
       00.130	 -0.095
       00.140	 -0.085
       00.150	 -0.090
       00.160	 -0.090
       00.170	 -0.100
       00.180	 -0.085
       00.190	 -0.105
       00.200	 -0.090
       00.210	 -0.045
       00.220	  0.005
       00.230	  0.015
       00.240	  0.045
       00.250	  0.155
       00.260	  0.140
       00.270	  0.045
       00.280	  0.005
       00.290	 -0.040
       00.300	 -0.085
       00.310	 -0.200
       00.320	 -0.195
       00.330	 -0.200
       00.340	 -0.200
       00.350	 -0.240
       00.360	 -0.130
       00.370	  0.340
       00.380	  1.155
       00.390	  1.470
       00.400	 -0.155
       00.410	 -0.825
       00.420	 -0.590
       00.430	 -0.350
       00.440	 -0.155
       00.450	 -0.170
       00.460	 -0.140
       00.470	 -0.155
       00.480	 -0.115
       00.490	 -0.125
       00.500	 -0.090
       00.510	 -0.095
       00.520	 -0.065
       00.530	 -0.055
       00.540	 -0.015
       00.550	 -0.005
       00.560	  0.035
       00.570	  0.045
       00.580	  0.090
       00.590	  0.110
       00.600	  0.150
       00.610	  0.180
       00.620	  0.205
       00.630	  0.225
       00.640	  0.230
       00.650	  0.220
       00.660	  0.235
       00.670	  0.230
       00.680	  0.200
       00.690	  0.170
       00.700	  0.120
       00.710	  0.075
       00.720	  0.040
       00.730	  0.020
       00.740	  0.005
       00.750	 -0.005
       00.760	 -0.005
       00.770	 -0.010
       00.780	 -0.015
       00.790	 -0.010
       00.800	  0.000
       00.810	 -0.005
       00.820	 -0.020
       00.830	 -0.020
       00.840	 -0.015
       00.850	 -0.025
       00.860	 -0.035
       00.870	 -0.045
       00.880	 -0.045
       00.890	 -0.060
       00.900	 -0.065
       00.910	 -0.070
       00.920	 -0.055
       00.930	 -0.060
       00.940	 -0.080
       00.950	 -0.075
       00.960	 -0.090
       00.970	 -0.065
       00.980	 -0.075
       00.990	 -0.080
       01.000	 -0.080
       01.010	 -0.085
       01.020	 -0.090
       01.030	 -0.075
       01.040	 -0.085
       01.050	 -0.095
       01.060	 -0.105
       01.070	 -0.090
       01.080	 -0.095
       01.090	 -0.070
       01.100	 -0.045
       01.110	  0.005
       01.120	  0.030
       01.130	  0.070
       01.140	  0.195
       01.150	  0.145
       01.160	  0.050
       01.170	 -0.015
       01.180	 -0.025
       01.190	 -0.115
       01.200	 -0.180
       01.210	 -0.190
       01.220	 -0.185
       01.230	 -0.185
       01.240	 -0.215
       01.250	  0.010
       01.260	  0.575
       01.270	  1.185
       01.280	  0.960
       01.290	 -0.160
       01.300	 -0.740
       01.310	 -0.640
       01.320	 -0.350
